Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O43175|SERA_HUMAN	O43175	SERA_HUMAN	PHGDH	533	Homo sapiens OX=9606	D-3-phosphoglycerate dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	27	0	27	9.6288712E7	0	9.6288712E7	6M(15.9949),11C(57.0214),11C(57.0214),10C(57.0214), 11C(57.0214),7C(57.0214),9M(15.9949),5C(57.0214),2M(15.9949)		tr|A0A286YF22|A0A286YF22_HUMAN
sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	3	3	3	5984755.5	5984755.5	5984755.5			
sp|O43290|SNUT1_HUMAN	O43290	SNUT1_HUMAN	SART1	800	Homo sapiens OX=9606	U4/U6.U5 tri-snRNP-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9974	1	1	1	1	1	1	822787.9	822787.9	822787.9			
sp|O43324|MCA3_HUMAN	O43324	MCA3_HUMAN	EEF1E1	174	Homo sapiens OX=9606	Eukaryotic translation elongation factor 1 epsilon-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	3	1	3	4536487.0	1390537.6	4536487.0	N-term(42.0106)		
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein R 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	16	0	16	4.4738608E7	0	4.4738608E7	3C(57.0214),3C(57.0214),5C(57.0214),2M(15.9949), 3M(15.9949),2C(57.0214),2C(57.0214),N-term(42.0106),8C(57.0214),5C(57.0214),5C(57.0214), 8M(15.9949)		
sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	Homo sapiens OX=9606	Thioredoxin-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	4441463.5	0	4441463.5	2C(57.0214), 5C(57.0214)		tr|K7ER96|K7ER96_HUMAN
sp|O43399|TPD54_HUMAN	O43399	TPD54_HUMAN	TPD52L2	206	Homo sapiens OX=9606	Tumor protein D54 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	2.3645588E7	0	2.3645588E7			tr|A0A087WYR3|A0A087WYR3_HUMAN
sp|O43447|PPIH_HUMAN	O43447	PPIH_HUMAN	PPIH	177	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase H 	1:Experimental evidence at protein level	1.0000	0.9989	3	0	3	3	0	3	4555440.0	0	4555440.0	8M(15.9949)		tr|C9JQD4|C9JQD4_HUMAN
sp|O43488|ARK72_HUMAN	O43488	ARK72_HUMAN	AKR7A2	359	Homo sapiens OX=9606	Aflatoxin B1 aldehyde reductase member 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	4007602.2	0	4007602.2	9C(57.0214)		tr|H3BLU7|H3BLU7_HUMAN
sp|O43504|LTOR5_HUMAN	O43504	LTOR5_HUMAN	LAMTOR5	91	Homo sapiens OX=9606	Ragulator complex protein LAMTOR5 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	877143.0	0	877143.0			tr|A0A0C4DGV4|A0A0C4DGV4_HUMAN
sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	198	Homo sapiens OX=9606	Density-regulated protein 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	0	0	0			tr|F8VVL1|F8VVL1_HUMAN
sp|O43592|XPOT_HUMAN	O43592	XPOT_HUMAN	XPOT	962	Homo sapiens OX=9606	Exportin-T 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	5	3	5	4592921.5	3279092.5	4592921.5	2C(57.0214),6C(57.0214)		
sp|O43598|DNPH1_HUMAN	O43598	DNPH1_HUMAN	DNPH1	174	Homo sapiens OX=9606	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	7678052.0	0	7678052.0	11C(57.0214),3C(57.0214)		tr|H0Y8X4|H0Y8X4_HUMAN
sp|O43615|TIM44_HUMAN	O43615	TIM44_HUMAN	TIMM44	452	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit TIM44 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	5811317.0	0	5811317.0			
sp|O43660|PLRG1_HUMAN	O43660	PLRG1_HUMAN	PLRG1	514	Homo sapiens OX=9606	Pleiotropic regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1082688.5	0	1082688.5	1C(57.0214)		
sp|O43670|ZN207_HUMAN	O43670	ZN207_HUMAN	ZNF207	478	Homo sapiens OX=9606	BUB3-interacting and GLEBS motif-containing protein ZNF207 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	9808777.0	0	9808777.0			tr|J3QRS9|J3QRS9_HUMAN, tr|X6R4W8|X6R4W8_HUMAN
sp|O43676|NDUB3_HUMAN	O43676	NDUB3_HUMAN	NDUFB3	98	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9989	2	1	2	1	1	1	1491896.2	367000.62	1491896.2			
sp|O43678|NDUA2_HUMAN	O43678	NDUA2_HUMAN	NDUFA2	99	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	2	2	2	2367488.5	2367488.5	2367488.5			
sp|O43681|GET3_HUMAN	O43681	GET3_HUMAN	GET3	348	Homo sapiens OX=9606	ATPase GET3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	5553578.5	5553578.5	5553578.5	3C(57.0214), 5C(57.0214)		
sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	Homo sapiens OX=9606	Mitotic checkpoint protein BUB3 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	8	0	8	1.0595313E7	0	1.0595313E7	3C(57.0214),1M(15.9949),1M(15.9949)		tr|J3QT28|J3QT28_HUMAN
sp|O43707|ACTN4_HUMAN	O43707	ACTN4_HUMAN	ACTN4	911	Homo sapiens OX=9606	Alpha-actinin-4 	1:Experimental evidence at protein level	1.0000	0.9990	22	0	22	23	0	23	3.3862904E7	0	3.3862904E7	7M(15.9949),6M(15.9949),1C(57.0214),8M(15.9949),1M(15.9949)		
sp|O43747|AP1G1_HUMAN	O43747	AP1G1_HUMAN	AP1G1	822	Homo sapiens OX=9606	AP-1 complex subunit gamma-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	2254577.5	2254577.5	2254577.5			
sp|O43765|SGTA_HUMAN	O43765	SGTA_HUMAN	SGTA	313	Homo sapiens OX=9606	Small glutamine-rich tetratricopeptide repeat-containing protein alpha 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	1561411.8	0	1561411.8	13C(57.0214),3C(57.0214)		tr|A0A7I2V2U2|A0A7I2V2U2_HUMAN, tr|A0A7I2V4T9|A0A7I2V4T9_HUMAN, tr|A0A7I2V588|A0A7I2V588_HUMAN, tr|A0A7I2V5Z3|A0A7I2V5Z3_HUMAN, tr|A0A7I2V697|A0A7I2V697_HUMAN
sp|O43768|ENSA_HUMAN	O43768	ENSA_HUMAN	ENSA	121	Homo sapiens OX=9606	Alpha-endosulfine 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	0	0	0			tr|A0A1W2PRU0|A0A1W2PRU0_HUMAN, tr|A6NMQ3|A6NMQ3_HUMAN, tr|Q5T5H1|Q5T5H1_HUMAN
sp|O43776|SYNC_HUMAN	O43776	SYNC_HUMAN	NARS1	548	Homo sapiens OX=9606	Asparagine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	8	4	8	8	6	8	1.8063194E7	1.4954484E7	1.8063194E7	3C(57.0214),4C(57.0214),13C(57.0214),13C(57.0214), 2M(15.9949)		
sp|O43809|CPSF5_HUMAN	O43809	CPSF5_HUMAN	NUDT21	227	Homo sapiens OX=9606	Cleavage and polyadenylation specificity factor subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	4	0	4	1.6943354E7	798996.3	1.6943354E7	2M(15.9949)		
sp|O43813|LANC1_HUMAN	O43813	LANC1_HUMAN	LANCL1	399	Homo sapiens OX=9606	Glutathione S-transferase LANCL1 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	3	2	3	5090156.0	2468812.0	5090156.0	7C(57.0214)		
sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	475	Homo sapiens OX=9606	U3 small nucleolar RNA-interacting protein 2 	1:Experimental evidence at protein level	1.0000	0.9979	1	1	1	1	1	1	710222.75	710222.75	710222.75			
sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	Homo sapiens OX=9606	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	4	0	4	2884596.5	0	2884596.5			tr|A0A087WZN1|A0A087WZN1_HUMAN, tr|A0A087X2E5|A0A087X2E5_HUMAN
sp|O43847|NRDC_HUMAN	O43847	NRDC_HUMAN	NRDC	1151	Homo sapiens OX=9606	Nardilysin 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	2947575.0	0	2947575.0			
sp|O43852|CALU_HUMAN	O43852	CALU_HUMAN	CALU	315	Homo sapiens OX=9606	Calumenin 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	1.4490712E7	8559834.0	1.4490712E7			
sp|O43865|SAHH2_HUMAN	O43865	SAHH2_HUMAN	AHCYL1	530	Homo sapiens OX=9606	S-adenosylhomocysteine hydrolase-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	6	1	6	6424446.0	1763107.1	6424446.0	5C(57.0214),8C(57.0214),2C(57.0214),2C(57.0214), 6M(15.9949),6C(57.0214), 7C(57.0214)		
sp|O43920|NDUS5_HUMAN	O43920	NDUS5_HUMAN	NDUFS5	106	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 	1:Experimental evidence at protein level	1.0000	0.9975	1	1	1	1	1	1	3977262.0	3977262.0	3977262.0			
sp|O60216|RAD21_HUMAN	O60216	RAD21_HUMAN	RAD21	631	Homo sapiens OX=9606	Double-strand-break repair protein rad21 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	565587.6	0	565587.6	6C(57.0214)		
sp|O60220|TIM8A_HUMAN	O60220	TIM8A_HUMAN	TIMM8A	97	Homo sapiens OX=9606	Mitochondrial import inner membrane translocase subunit Tim8 A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	1	1	1	1938107.8	1938107.8	1938107.8	4C(57.0214), 8C(57.0214)		
sp|O60231|DHX16_HUMAN	O60231	DHX16_HUMAN	DHX16	1041	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	2	0	2	211215.17	0	211215.17			
sp|O60232|ZNRD2_HUMAN	O60232	ZNRD2_HUMAN	ZNRD2	199	Homo sapiens OX=9606	Protein ZNRD2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	2091216.0	0	2091216.0			tr|H0YEB6|H0YEB6_HUMAN
sp|O60264|SMCA5_HUMAN	O60264	SMCA5_HUMAN	SMARCA5	1052	Homo sapiens OX=9606	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 	1:Experimental evidence at protein level	1.0000	0.9990	9	4	9	7	3	7	4095650.2	3999734.2	4095650.2	1C(57.0214)		
sp|O60313|OPA1_HUMAN	O60313	OPA1_HUMAN	OPA1	960	Homo sapiens OX=9606	Dynamin-like 120 kDa protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	4294639.5	0	4294639.5			tr|A0A2R8Y3X5|A0A2R8Y3X5_HUMAN, tr|E5KLJ9|E5KLJ9_HUMAN
sp|O60443|GSDME_HUMAN	O60443	GSDME_HUMAN	GSDME	496	Homo sapiens OX=9606	Gasdermin-E 	1:Experimental evidence at protein level	1.0000	0.9965	1	0	1	1	0	1	465343.3	0	465343.3			tr|C9JSR4|C9JSR4_HUMAN
sp|O60488|ACSL4_HUMAN	O60488	ACSL4_HUMAN	ACSL4	711	Homo sapiens OX=9606	Long-chain-fatty-acid--CoA ligase 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	3	2	0	1	4070848.5	0	2603657.8	8C(57.0214),7C(57.0214)		
sp|O60493|SNX3_HUMAN	O60493	SNX3_HUMAN	SNX3	162	Homo sapiens OX=9606	Sorting nexin-3 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	3	3	1	1	1.0208752E7	5638239.5	5638239.5			
sp|O60547|GMDS_HUMAN	O60547	GMDS_HUMAN	GMDS	372	Homo sapiens OX=9606	GDP-mannose 4,6 dehydratase 	1:Experimental evidence at protein level	1.0000	0.9985	1	1	1	1	1	1	784955.0	784955.0	784955.0			
sp|O60568|PLOD3_HUMAN	O60568	PLOD3_HUMAN	PLOD3	738	Homo sapiens OX=9606	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	2	0	2	4132040.2	309144.12	4132040.2			
sp|O60610|DIAP1_HUMAN	O60610	DIAP1_HUMAN	DIAPH1	1272	Homo sapiens OX=9606	Protein diaphanous homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	6	0	6	3172277.5	0	3172277.5	3C(57.0214)		tr|A0A0G2JH68|A0A0G2JH68_HUMAN, tr|A0A140T8Z0|A0A140T8Z0_HUMAN, tr|H9KV28|H9KV28_HUMAN
sp|O60664|PLIN3_HUMAN	O60664	PLIN3_HUMAN	PLIN3	434	Homo sapiens OX=9606	Perilipin-3 	1:Experimental evidence at protein level	1.0000	0.9990	8	1	8	9	1	9	1.7206308E7	2326706.0	1.7206308E7	7M(15.9949),11M(15.9949),4M(15.9949)		
sp|O60701|UGDH_HUMAN	O60701	UGDH_HUMAN	UGDH	494	Homo sapiens OX=9606	UDP-glucose 6-dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2269849.8	2269849.8	2269849.8	9C(57.0214)		
sp|O60716|CTND1_HUMAN	O60716	CTND1_HUMAN	CTNND1	968	Homo sapiens OX=9606	Catenin delta-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	712458.5	0	712458.5			tr|A0A669KB05|A0A669KB05_HUMAN, tr|A0A669KB62|A0A669KB62_HUMAN, tr|A0A804HIL4|A0A804HIL4_HUMAN, tr|A0A804HJM1|A0A804HJM1_HUMAN, tr|A0A804HK15|A0A804HK15_HUMAN, tr|C9JZR2|C9JZR2_HUMAN, tr|H0YC95|H0YC95_HUMAN
sp|O60749|SNX2_HUMAN	O60749	SNX2_HUMAN	SNX2	519	Homo sapiens OX=9606	Sorting nexin-2 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	6	4	6	5800940.0	4811170.0	5800940.0			
sp|O60762|DPM1_HUMAN	O60762	DPM1_HUMAN	DPM1	260	Homo sapiens OX=9606	Dolichol-phosphate mannosyltransferase subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	4786058.5	0	4786058.5			tr|H0Y368|H0Y368_HUMAN, tr|Q5QPK2|Q5QPK2_HUMAN
sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	Homo sapiens OX=9606	General vesicular transport factor p115 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	1	1	1	3035623.5	3035623.5	3035623.5	1C(57.0214)		
sp|O60814|H2B1K_HUMAN	O60814	H2B1K_HUMAN	H2BC12	126	Homo sapiens OX=9606	Histone H2B type 1-K 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	22	0	22	2.53418778E9	0	2.53418778E9	2M(15.9949), 5M(15.9949)		sp|P57053|H2BFS_HUMAN, sp|P58876|H2B1D_HUMAN, sp|P62807|H2B1C_HUMAN, sp|Q5QNW6|H2B2F_HUMAN, sp|Q93079|H2B1H_HUMAN, sp|Q99877|H2B1N_HUMAN, sp|Q99879|H2B1M_HUMAN, sp|Q99880|H2B1L_HUMAN, tr|U3KQK0|U3KQK0_HUMAN
sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit DKC1 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	5	0	5	1.0874175E7	4347735.5	1.0874175E7	8C(57.0214),N-term(42.0106),9C(57.0214),2M(15.9949)		
sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	8	0	8	1.3332504E7	0	1.3332504E7	1C(57.0214),5C(57.0214),7C(57.0214)		tr|A0A087WUT6|A0A087WUT6_HUMAN
sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	Homo sapiens OX=9606	Endothelial differentiation-related factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	1	1	1	9305560.0	9305560.0	9305560.0			
sp|O60884|DNJA2_HUMAN	O60884	DNJA2_HUMAN	DNAJA2	412	Homo sapiens OX=9606	DnaJ homolog subfamily A member 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	1	0	1	4427525.0	2958808.0	4427525.0	6C(57.0214),4C(57.0214), 7C(57.0214)		
sp|O60888|CUTA_HUMAN	O60888	CUTA_HUMAN	CUTA	179	Homo sapiens OX=9606	Protein CutA 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	5465690.0	0	5465690.0			tr|C9IZG4|C9IZG4_HUMAN
sp|O60925|PFD1_HUMAN	O60925	PFD1_HUMAN	PFDN1	122	Homo sapiens OX=9606	Prefoldin subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	4242766.5	0	4242766.5			tr|E5RGS4|E5RGS4_HUMAN
sp|O75027|ABCB7_HUMAN	O75027	ABCB7_HUMAN	ABCB7	752	Homo sapiens OX=9606	Iron-sulfur clusters transporter ABCB7, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	2149558.2	0	2149558.2			tr|A0A590UJS8|A0A590UJS8_HUMAN, tr|A0A5F9ZA98|A0A5F9ZA98_HUMAN
sp|O75083|WDR1_HUMAN	O75083	WDR1_HUMAN	WDR1	606	Homo sapiens OX=9606	WD repeat-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	3	9	8	3	8	4.2528992E7	4926914.0	4.2528992E7	5M(15.9949),18C(57.0214),2C(57.0214)		
sp|O75116|ROCK2_HUMAN	O75116	ROCK2_HUMAN	ROCK2	1388	Homo sapiens OX=9606	Rho-associated protein kinase 2 	1:Experimental evidence at protein level	1.0000	0.9988	2	0	2	2	0	2	1339801.6	0	1339801.6	4C(57.0214)		tr|E9PF63|E9PF63_HUMAN
sp|O75131|CPNE3_HUMAN	O75131	CPNE3_HUMAN	CPNE3	537	Homo sapiens OX=9606	Copine-3 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	5	5	2	5	5020378.0	3716652.0	5020378.0			
sp|O75153|CLU_HUMAN	O75153	CLU_HUMAN	CLUH	1309	Homo sapiens OX=9606	Clustered mitochondria protein homolog 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	839348.3	0	839348.3			tr|A0A494C0R8|A0A494C0R8_HUMAN, tr|K7EIG1|K7EIG1_HUMAN
sp|O75223|GGCT_HUMAN	O75223	GGCT_HUMAN	GGCT	188	Homo sapiens OX=9606	Gamma-glutamylcyclotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	6387869.5	0	6387869.5	8C(57.0214)		
sp|O75306|NDUS2_HUMAN	O75306	NDUS2_HUMAN	NDUFS2	463	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	5	0	5	7036096.5	0	7036096.5	5C(57.0214)		tr|A0A7I2V596|A0A7I2V596_HUMAN, tr|A0A7I2YQG7|A0A7I2YQG7_HUMAN
sp|O75340|PDCD6_HUMAN	O75340	PDCD6_HUMAN	PDCD6	191	Homo sapiens OX=9606	Programmed cell death protein 6 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	5	2	5	1.4884819E7	2844521.8	1.4884819E7	5M(15.9949)		
sp|O75347|TBCA_HUMAN	O75347	TBCA_HUMAN	TBCA	108	Homo sapiens OX=9606	Tubulin-specific chaperone A 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	1.535223E7	0	1.535223E7	1M(15.9949), 6C(57.0214),6C(57.0214)		tr|E5RIW3|E5RIW3_HUMAN, tr|E5RJD8|E5RJD8_HUMAN
sp|O75348|VATG1_HUMAN	O75348	VATG1_HUMAN	ATP6V1G1	118	Homo sapiens OX=9606	V-type proton ATPase subunit G 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1200132.4	0	1200132.4	N-term(42.0106)		
sp|O75351|VPS4B_HUMAN	O75351	VPS4B_HUMAN	VPS4B	444	Homo sapiens OX=9606	Vacuolar protein sorting-associated protein 4B 	1:Experimental evidence at protein level	1.0000	0.9987	2	0	2	2	0	2	2741388.5	0	2741388.5			
sp|O75352|MPU1_HUMAN	O75352	MPU1_HUMAN	MPDU1	247	Homo sapiens OX=9606	Mannose-P-dolichol utilization defect 1 protein 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	2	0	2	1512890.2	0	1512890.2			tr|I3L295|I3L295_HUMAN, tr|J3KT75|J3KT75_HUMAN, tr|J3KTK8|J3KTK8_HUMAN, tr|J3QQZ4|J3QQZ4_HUMAN, tr|J3QRD5|J3QRD5_HUMAN, tr|J3QS48|J3QS48_HUMAN, tr|J3QW43|J3QW43_HUMAN
sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	372	Homo sapiens OX=9606	Core histone macro-H2A.1 	1:Experimental evidence at protein level	1.0000	0.9990	12	2	12	11	3	11	2.4536188E7	1.6199831E7	2.4536188E7	10M(15.9949),2C(57.0214),5C(57.0214)		
sp|O75368|SH3L1_HUMAN	O75368	SH3L1_HUMAN	SH3BGRL	114	Homo sapiens OX=9606	SH3 domain-binding glutamic acid-rich-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2167578.5	2167578.5	2167578.5			
sp|O75369|FLNB_HUMAN	O75369	FLNB_HUMAN	FLNB	2602	Homo sapiens OX=9606	Filamin-B 	1:Experimental evidence at protein level	1.0000	0.9990	83	0	78	94	0	90	4.3505104E7	0	3.8968636E7	3C(57.0214),2M(15.9949),2M(15.9949), 6M(15.9949),7C(57.0214),1M(15.9949), 7C(57.0214),13M(15.9949),11C(57.0214),11C(57.0214),6C(57.0214),11C(57.0214), 16C(57.0214),11C(57.0214), 16C(57.0214),6M(15.9949),1C(57.0214),17C(57.0214), 22M(15.9949), 5M(15.9949),5C(57.0214),4M(15.9949),9M(15.9949),4C(57.0214),11M(15.9949),4C(57.0214),15C(57.0214),9M(15.9949),7C(57.0214),7C(57.0214)		
sp|O75390|CISY_HUMAN	O75390	CISY_HUMAN	CS	466	Homo sapiens OX=9606	Citrate synthase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	11	0	11	2.3845034E7	0	2.3845034E7	7M(15.9949),7C(57.0214),2M(15.9949), 8M(15.9949)		tr|B4DJV2|B4DJV2_HUMAN
sp|O75396|SC22B_HUMAN	O75396	SC22B_HUMAN	SEC22B	215	Homo sapiens OX=9606	Vesicle-trafficking protein SEC22b 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	5	2	5	1.8915538E7	1.2392057E7	1.8915538E7	2M(15.9949)		
sp|O75436|VP26A_HUMAN	O75436	VP26A_HUMAN	VPS26A	327	Homo sapiens OX=9606	Vacuolar protein sorting-associated protein 26A 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	5	2	5	1.1041861E7	3627307.2	1.1041861E7	12M(15.9949)		
sp|O75438|NDUB1_HUMAN	O75438	NDUB1_HUMAN	NDUFB1	58	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9970	1	1	1	1	1	1	0	0	0	1M(15.9949)		
sp|O75439|MPPB_HUMAN	O75439	MPPB_HUMAN	PMPCB	489	Homo sapiens OX=9606	Mitochondrial-processing peptidase subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	4	1	4	6888252.0	2349604.0	6888252.0	2C(57.0214),8C(57.0214),3C(57.0214)		
sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	Homo sapiens OX=9606	PC4 and SFRS1-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	1	1	1	4605358.5	4605358.5	4605358.5			
sp|O75477|ERLN1_HUMAN	O75477	ERLN1_HUMAN	ERLIN1	348	Homo sapiens OX=9606	Erlin-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	1	2	1	1	3000687.2	945121.7	945121.7			
sp|O75489|NDUS3_HUMAN	O75489	NDUS3_HUMAN	NDUFS3	264	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	2	1	2	5789307.0	3757585.5	5789307.0			
sp|O75494|SRS10_HUMAN	O75494	SRS10_HUMAN	SRSF10	262	Homo sapiens OX=9606	Serine/arginine-rich splicing factor 10 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	1583228.1	0	1583228.1			tr|Q5JRI1|Q5JRI1_HUMAN
sp|O75521|ECI2_HUMAN	O75521	ECI2_HUMAN	ECI2	394	Homo sapiens OX=9606	Enoyl-CoA delta isomerase 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	4966959.5	0	4966959.5	5C(57.0214),9C(57.0214)		tr|A0A0C4DGA2|A0A0C4DGA2_HUMAN
sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	Homo sapiens OX=9606	Barrier-to-autointegration factor 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	8	6	8	6.6901488E7	6.6901488E7	6.6901488E7	9M(15.9949),2C(57.0214), 5C(57.0214)		
sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	Homo sapiens OX=9606	Splicing factor 3B subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	7	10	8	5	8	6391541.0	4788544.0	6391541.0	5C(57.0214)		
sp|O75534|CSDE1_HUMAN	O75534	CSDE1_HUMAN	CSDE1	798	Homo sapiens OX=9606	Cold shock domain-containing protein E1 	1:Experimental evidence at protein level	1.0000	0.9990	10	1	10	8	0	8	9078948.0	898604.7	9078948.0	10C(57.0214),11M(15.9949),5C(57.0214)		
